Id. de la fila,Id. del pedido,Fecha del pedido,Fecha de envío,Método de envío,Id. del cliente,Nombre del cliente,Segmento,Ciudad,Provincia/Estado/Departamento,País/Región,Región,Id. del producto,Categoría,Subcategoría,Nombre del producto,Ventas,Cantidad,Descuento,Ganancia,
753,MX-2019-122434,16/06/19,22/06/19,Estándar,IC-16540,Inés Calvillo,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10003372,Material de oficina,Suministros,"Fiskars Abrecartas, Azul",931,5,0,176,
755,MX-2021-109631,26/06/21,02/07/21,Estándar,LS-17560,Laia Santillán,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-AR-10003326,Material de oficina,Arte,"Boston Libreta de dibujo, Al por mayor",651.6,2,0,71.6,
773,MX-2020-124443,31/03/20,06/04/20,Estándar,NJ-19420,Nilo Jaime,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-CO-10004502,Tecnología,Copiadoras,"Canon Fotocopiadora con fax, Digital",3811.9608,3,0.002,1443.7608,
774,MX-2020-124443,31/03/20,06/04/20,Estándar,NJ-19420,Nilo Jaime,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10004634,Material de oficina,Suministros,"Kleencut Abrecartas, Industrial",1147.2,6,0,297.6,
782,MX-2021-127628,12/10/21,15/10/21,Urgente,AB-11185,Antonia Baeza,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-MÁ-10003503,Tecnología,Máquinas,"Panasonic Impresora de tarjetas, Rojo",3419.4,3,0,546.6,
841,MX-2021-112620,02/09/21,06/09/21,Estándar,DR-13615,Domingo Rivero,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-AR-10000148,Material de oficina,Arte,"Stanley Subrayadores, Al por mayor",598.8,6,0,40.8,
939,MX-2020-123309,13/01/20,20/01/20,Estándar,LS-17695,Luciano Sosa,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-ET-10003795,Material de oficina,Etiquetas,"Hon Etiquetas de envío, Blanco",303.2,4,0,20.8,
940,MX-2020-123309,13/01/20,20/01/20,Estándar,LS-17695,Luciano Sosa,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10004633,Material de oficina,Suministros,"Elite Cizallas, Rectangular",1748.4,6,0,0,
941,MX-2020-123309,13/01/20,20/01/20,Estándar,LS-17695,Luciano Sosa,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-EL-10001384,Material de oficina,Electrodomésticos,"Cuisinart Batidora, Blanco",2171,5,0,303,
1040,MX-2020-100979,04/11/20,08/11/20,Estándar,EC-14410,Eusebio Cano,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-LI-10000610,Mobiliario,Librerías,"Bush Librería, Blanco",3360.8,5,0.2,923.8,
1043,MX-2021-166877,18/10/21,21/10/21,Urgente,EN-14020,Elvira Nieves,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-PA-10001122,Material de oficina,Papel,"SanDisk Resma, Multicolor",416,2,0,33.2,
1119,MX-2019-107629,27/07/19,29/07/19,Rápido,LL-17845,Lidia Laureano,Cliente,Ciudad de México,Distrito Federal,México,Norte,TEC-AC-10003489,Tecnología,Accesorios,"Belkin Teclado, Programable",790,2,0,102.4,
1227,MX-2019-153024,30/11/19,05/12/19,Estándar,IB-16180,Iris Barena,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-SI-10004824,Mobiliario,Sillas,"Hon Sillón, Rojo",2438.08,1,0.2,396.08,
1228,MX-2019-153024,30/11/19,05/12/19,Estándar,IB-16180,Iris Barena,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10004804,Material de oficina,Suministros,"Kleencut Abrecartas, Azul",902,5,0,351,
1229,MX-2019-153024,30/11/19,05/12/19,Estándar,IB-16180,Iris Barena,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-AL-10001237,Material de oficina,Almacenamiento,"Rogers Archivador móvil, Tamaño completo",2832.6,3,0,622.8,
1233,MX-2022-153661,29/10/22,04/11/22,Estándar,CV-12700,Clarisa Valle,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10000941,Material de oficina,Carpetas,"Ibico Separadores, Duradero",138.8,2,0,12.4,
1234,MX-2022-153661,29/10/22,04/11/22,Estándar,CV-12700,Clarisa Valle,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-GR-10001064,Material de oficina,Grapas,"Stockwell Cintas de goma, Al por mayor",220.4,2,0,79.2,
1432,MX-2022-166954,10/11/22,17/11/22,Estándar,BA-12100,Blas Alba,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SO-10001526,Material de oficina,Sobres,"Ames Cierre adhesivo, Plateado",281.2,2,0,53.2,
1434,MX-2019-166576,10/07/19,15/07/19,Estándar,CE-13150,Cintia Escobar,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10004804,Material de oficina,Suministros,"Kleencut Abrecartas, Azul",902,5,0,351,
1620,MX-2021-168137,07/11/21,09/11/21,Urgente,AC-10105,Abraham Cedillo,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-EL-10004680,Material de oficina,Electrodomésticos,"Hoover Molinillo de café, Rojo",1375.8,3,0,274.8,
1621,MX-2021-168137,07/11/21,09/11/21,Urgente,AC-10105,Abraham Cedillo,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10002699,Material de oficina,Carpetas,"Acco Cubierta de carpeta, Reciclado",638.4,7,0,57.4,
1638,MX-2022-132696,23/09/22,30/09/22,Estándar,FM-14785,Flora Montes,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SO-10002231,Material de oficina,Sobres,"GlobeWeis Cierre adhesivo, 50",142.6,1,0,69.8,
1695,MX-2020-120796,04/02/20,09/02/20,Estándar,DS-13705,Dino Saucedo,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SO-10003497,Material de oficina,Sobres,"GlobeWeis Sobre de hebilla, Plateado",246,3,0,120,
1696,MX-2020-120796,04/02/20,09/02/20,Estándar,DS-13705,Dino Saucedo,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-SI-10000533,Mobiliario,Sillas,"Novimex Silla de playa, Rojo",735.36,3,0.2,-92.04,
1699,US-2022-125626,05/03/22,10/03/22,Rápido,CS-13075,Cesar Sedillo,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-LI-10000374,Mobiliario,Librerías,"Ikea Librería, Metal",2603.52,4,0.2,-488.48,
1717,US-2022-109526,10/05/22,14/05/22,Estándar,AB-10135,Alfredo Barajas,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-MO-10002101,Mobiliario,Mobiliario,"Rubvermaid Marco, Premium",1302.12,3,0.4,-673.08,
1736,US-2022-139500,17/11/22,19/11/22,Rápido,HH-15850,Higinia Horta,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-SI-10000419,Mobiliario,Sillas,"SAFCO Taburete, Rojo",2687.04,3,0.2,-537.96,
1806,MX-2020-122609,22/12/20,27/12/20,Estándar,DC-13390,David Cordero,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-GR-10001828,Material de oficina,Grapas,"Accos Grapas, Tamaños variados",224,4,0,96,
1849,MX-2019-156153,08/11/19,13/11/19,Estándar,LB-17380,Lázaro Bernal,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-PA-10001943,Material de oficina,Papel,"SanDisk Recordadores, Paquete de 12",704,5,0,28,
2113,MX-2021-137155,15/10/21,21/10/21,Estándar,AN-10870,Aarón Navarrete,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SO-10004468,Material de oficina,Sobres,"Kraft Sobre empresarial, Rojo",666,5,0,299,
2114,MX-2021-137155,15/10/21,21/10/21,Estándar,AN-10870,Aarón Navarrete,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-GR-10003951,Material de oficina,Grapas,"Advantus Grapas, Tamaños variados",166.2,3,0,74.4,
2115,MX-2021-137155,15/10/21,21/10/21,Estándar,AN-10870,Aarón Navarrete,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SO-10000258,Material de oficina,Sobres,"Ames Cierre adhesivo, 50",124.6,1,0,1.2,
2328,MX-2019-106264,04/12/19,07/12/19,Urgente,NM-19315,Noé Martínez,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10004788,Material de oficina,Carpetas,"Acco Separadores, Económico",171.6,3,0,46.2,
2329,MX-2019-106264,04/12/19,07/12/19,Urgente,NM-19315,Noé Martínez,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SO-10002576,Material de oficina,Sobres,"Ames Paquetes, Plateado",765,3,0,275.4,
2362,MX-2019-117107,16/10/19,20/10/19,Estándar,GZ-15115,Gerardo Zaragoza,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-SI-10000027,Mobiliario,Sillas,"Office Star Silla plegable, Negro",1428.48,3,0.2,463.68,
2363,MX-2019-117107,16/10/19,20/10/19,Estándar,GZ-15115,Gerardo Zaragoza,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-EL-10000927,Material de oficina,Electrodomésticos,"KitchenAid Frigorífico, Negro",7031.6,2,0,1617.2,
2364,MX-2019-117107,16/10/19,20/10/19,Estándar,GZ-15115,Gerardo Zaragoza,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-AL-10001369,Material de oficina,Almacenamiento,"Rogers Caja, Metal",153.6,1,0,29,
2365,MX-2019-117107,16/10/19,20/10/19,Estándar,GZ-15115,Gerardo Zaragoza,Cliente,Ciudad de México,Distrito Federal,México,Norte,TEC-CO-10001522,Tecnología,Copiadoras,"HP Fax, Rojo",11901.7488,6,0.002,2121.7488,
2377,MX-2020-111178,05/05/20,10/05/20,Estándar,ÁP-10900,Ángel Prieto,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-EL-10000681,Material de oficina,Electrodomésticos,"Hamilton Beach Horno, Blanco",7206.4,2,0,720.4,
2378,MX-2020-111178,05/05/20,10/05/20,Estándar,ÁP-10900,Ángel Prieto,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-EL-10000681,Material de oficina,Electrodomésticos,"Hamilton Beach Horno, Blanco",32428.8,9,0,3241.8,
2440,MX-2021-145821,02/07/21,08/07/21,Estándar,AO-10405,Augusto Olivares,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-GR-10004309,Material de oficina,Grapas,"Stockwell Pasadores, Tamaños variados",533.4,7,0,159.6,
2441,MX-2021-145821,02/07/21,08/07/21,Estándar,AO-10405,Augusto Olivares,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10001639,Material de oficina,Suministros,"Acme Abrecartas, Industrial",424.4,2,0,186.4,
2442,MX-2021-145821,02/07/21,08/07/21,Estándar,AO-10405,Augusto Olivares,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-CO-10003901,Tecnología,Copiadoras,"HP Fotocopiadora personal, Color",6692.1888,8,0.002,1058.5888,
2495,MX-2020-130351,21/12/20,25/12/20,Estándar,ÉC-14365,Érica Casas,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-ET-10003044,Material de oficina,Etiquetas,"Novimex Etiquetas de envío, Blanco",219.6,3,0,74.4,
2496,MX-2020-130351,21/12/20,25/12/20,Estándar,ÉC-14365,Érica Casas,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-TE-10002554,Tecnología,Teléfonos,"Cisco Cargador, Azul",34740.8,8,0,6252.8,
2527,MX-2020-169047,26/07/20,30/07/20,Estándar,AL-11035,Ane Lomeli,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10004778,Material de oficina,Carpetas,"Cardinal Encuadernadora, Transparente",1312.8,4,0,367.2,
2528,MX-2020-169047,26/07/20,30/07/20,Estándar,AL-11035,Ane Lomeli,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10004209,Material de oficina,Suministros,"Kleencut Regla, Rectangular",136.8,2,0,39.6,
2529,MX-2020-169047,26/07/20,30/07/20,Estándar,AL-11035,Ane Lomeli,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10001605,Material de oficina,Carpetas,"Cardinal Anillas, Económico",106.8,3,0,3,
2570,MX-2021-159401,10/07/21,12/07/21,Rápido,CB-12445,Ciro Becerra,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SO-10003264,Material de oficina,Sobres,"Cameo Sobre empresarial, Rojo",683,5,0,314,
2603,US-2021-131212,03/12/21,10/12/21,Estándar,RM-20380,Raúl Mesa,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-MO-10003276,Mobiliario,Mobiliario,"Deflect-O Bombilla, Premium",70.44,1,0.4,-28.36,
2604,US-2021-131212,03/12/21,10/12/21,Estándar,RM-20380,Raúl Mesa,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-MO-10000131,Mobiliario,Mobiliario,"Eldon Bandeja apiladora, Premium",361.44,3,0.4,-36.36,
2730,MX-2019-137946,02/06/19,04/06/19,Urgente,CT-12535,Cecilia Tejada,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-AC-10003196,Tecnología,Accesorios,"Enermax Ratón, Blanco",508,2,0,223.2,
2802,US-2019-112193,27/09/19,02/10/19,Estándar,MG-18355,Maite Girón,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-MO-10004358,Mobiliario,Mobiliario,"Eldon Bandeja apiladora, Surtido",378.72,3,0.4,-44.28,
2870,MX-2022-135818,09/05/22,10/05/22,Urgente,IL-16600,Ivonne Laureano,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10004739,Material de oficina,Suministros,"Kleencut Cúter, Rectangular",209,1,0,62.6,
2871,MX-2022-135818,09/05/22,10/05/22,Urgente,IL-16600,Ivonne Laureano,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-AR-10002200,Material de oficina,Arte,"Binney & Smith Lienzos, Tamaños variados",727.2,2,0,58,
2908,MX-2021-167738,08/11/21,12/11/21,Rápido,OP-19630,Olimpia Pedraza,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-PA-10000211,Material de oficina,Papel,"Green Bar Material de oficina, Reciclado",1610,5,0,305,
2909,MX-2021-167738,08/11/21,12/11/21,Rápido,OP-19630,Olimpia Pedraza,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-SI-10001965,Mobiliario,Sillas,"Office Star Mecedora, 2",1527.04,2,0.2,57.04,
2959,MX-2020-165470,28/03/20,03/04/20,Estándar,ER-14035,Eric Ruiz,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-TE-10003979,Tecnología,Teléfonos,"Apple Amplificador de señal, Azul",5466,6,0,272.4,
2960,MX-2020-165470,28/03/20,03/04/20,Estándar,ER-14035,Eric Ruiz,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-MO-10004315,Mobiliario,Mobiliario,"Eldon Reloj, Duradero",1499.4,7,0.4,-775.6,
2961,MX-2020-165470,28/03/20,03/04/20,Estándar,ER-14035,Eric Ruiz,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-MO-10004035,Mobiliario,Mobiliario,"Deflect-O Marco de foto, Premium",606.24,3,0.4,90.84,
2962,MX-2020-165470,28/03/20,03/04/20,Estándar,ER-14035,Eric Ruiz,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10000365,Material de oficina,Carpetas,"Ibico Separadores, Transparente",167.4,3,0,0,
2982,MX-2022-139934,17/03/22,21/03/22,Estándar,PA-19900,Patricia Agosto,Cliente,Ciudad de México,Distrito Federal,México,Norte,TEC-TE-10004444,Tecnología,Teléfonos,"Samsung Teléfono inteligente, Azul",2464.8,3,0,763.8,
3034,MX-2019-114741,02/11/19,06/11/19,Estándar,HO-15805,Hernando Orellana,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-PA-10001896,Material de oficina,Papel,"Eaton Cuaderno, Multicolor",373.2,2,0,48.4,
3035,MX-2019-114741,02/11/19,06/11/19,Estándar,HO-15805,Hernando Orellana,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-LI-10002379,Mobiliario,Librerías,"Bush Biblioteca, Convencional",3886.08,2,0.2,291.28,
3049,MX-2020-149139,19/07/20,22/07/20,Urgente,LC-17800,Lorena Corral,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SO-10003115,Material de oficina,Sobres,"Ames Sobre de tipo Manila, Plateado",541.8,3,0,81,
3057,MX-2022-146269,14/06/22,17/06/22,Urgente,CL-12775,Clementino Leiva,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-SI-10004248,Mobiliario,Sillas,"Office Star Taburete, Rojo",1855.36,2,0.2,185.36,
3058,MX-2022-146269,14/06/22,17/06/22,Urgente,CL-12775,Clementino Leiva,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10004093,Material de oficina,Suministros,"Elite Cúter, Industrial",486.8,2,0,97.2,
3080,MX-2022-139654,27/11/22,29/11/22,Urgente,SG-20815,Simón Gracia,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-CO-10002971,Tecnología,Copiadoras,"Sharp Fotocopiadora, Rojo",3161.664,2,0.002,1514.064,
3081,MX-2022-139654,27/11/22,29/11/22,Urgente,SG-20815,Simón Gracia,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10001866,Material de oficina,Carpetas,"Ibico Perforador, Duradero",426,2,0,153.2,
3082,MX-2022-139654,27/11/22,29/11/22,Urgente,SG-20815,Simón Gracia,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10002747,Material de oficina,Suministros,"Stiletto Abrecartas, Rectangular",836,5,0,359,
3083,MX-2022-139654,27/11/22,29/11/22,Urgente,SG-20815,Simón Gracia,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-TE-10000541,Tecnología,Teléfonos,"Apple Teléfono de oficina, Azul",3481.6,8,0,800,
3113,MX-2019-122735,19/10/19,19/10/19,Mismo día,CM-12295,Celso Meza,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10003481,Material de oficina,Suministros,"Stiletto Cúter, Azul",239.8,1,0,79,
3114,MX-2019-122735,19/10/19,19/10/19,Mismo día,CM-12295,Celso Meza,Cliente,Ciudad de México,Distrito Federal,México,Norte,TEC-TE-10003025,Tecnología,Teléfonos,"Nokia Teléfono de oficina, Azul",1302.6,3,0,481.8,
3183,MX-2022-144953,16/01/22,21/01/22,Estándar,SG-20815,Simón Gracia,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-TE-10000005,Tecnología,Teléfonos,"Nokia Base de audio, Tamaños variados",2261.2,2,0,972,
3307,MX-2021-147298,30/07/21,05/08/21,Estándar,AA-10225,Alejandra Alcaraz,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10004266,Material de oficina,Suministros,"Stiletto Cizallas, Acero",1899.6,6,0,436.8,
3383,MX-2021-136735,05/12/21,11/12/21,Estándar,GF-15490,Gustavo Farías,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10004891,Material de oficina,Carpetas,"Ibico Anillas, Duradero",283,5,0,67,
3420,MX-2020-155698,07/06/20,13/06/20,Estándar,RP-20245,Rafa Portillo,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10000979,Material de oficina,Carpetas,"Avery Carpeta, Reciclado",442,5,0,39,
3421,MX-2020-155698,07/06/20,13/06/20,Estándar,RP-20245,Rafa Portillo,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-MO-10004819,Mobiliario,Mobiliario,"Rubvermaid Reloj, Premium",780.48,4,0.4,12.48,
3422,MX-2020-155698,07/06/20,13/06/20,Estándar,RP-20245,Rafa Portillo,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-SI-10000881,Mobiliario,Sillas,"SAFCO Estora, Negro",1224.32,4,0.2,-30.88,
3423,MX-2020-155698,07/06/20,13/06/20,Estándar,RP-20245,Rafa Portillo,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-ET-10004616,Material de oficina,Etiquetas,"Hon Etiquetas para documentos legales, Duradero",150,2,0,44.8,
3491,MX-2020-122224,25/12/20,29/12/20,Estándar,JS-16660,Jorge Saucedo,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-MO-10004819,Mobiliario,Mobiliario,"Rubvermaid Reloj, Premium",975.6,5,0.4,15.6,
3502,MX-2020-168865,15/09/20,20/09/20,Estándar,CS-12745,Celia Salgado,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10003571,Material de oficina,Carpetas,"Cardinal Perforador, Económico",384,2,0,115.2,
3503,MX-2020-168865,15/09/20,20/09/20,Estándar,CS-12745,Celia Salgado,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-CO-10003675,Tecnología,Copiadoras,"Sharp Fax inalámbrico, Digital",23656.592,10,0.002,188.592,
3537,MX-2022-107713,15/10/22,20/10/22,Estándar,PS-19870,Paola Solís,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-PA-10003728,Material de oficina,Papel,"Enermax Resma, Paquete de 12",652.2,3,0,143.4,
3538,MX-2022-107713,15/10/22,20/10/22,Estándar,PS-19870,Paola Solís,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-SO-10000937,Material de oficina,Sobres,"GlobeWeis Cierre adhesivo, Plateado",317.2,2,0,101.2,
3588,MX-2022-154529,30/07/22,04/08/22,Estándar,LM-17605,Lucrecia Maldonado,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-LI-10001430,Mobiliario,Librerías,"Sauder Conjunto de estantes, Negro",5224.8,5,0.2,848.8,
3589,MX-2022-154529,30/07/22,04/08/22,Estándar,LM-17605,Lucrecia Maldonado,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-PA-10000748,Material de oficina,Papel,"SanDisk Cuaderno, Multicolor",416.4,2,0,149.6,
3590,MX-2022-154529,30/07/22,04/08/22,Estándar,LM-17605,Lucrecia Maldonado,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-CO-10003117,Tecnología,Copiadoras,"HP Fotocopiadora con fax, 2",5751.474,5,0.002,621.474,
3604,MX-2022-150917,03/04/22,04/04/22,Urgente,OM-19660,Ofelia Maya,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10000759,Material de oficina,Carpetas,"Ibico Encuadernadora, Reciclado",690.4,2,0,227.6,
3661,MX-2021-161018,02/10/21,06/10/21,Rápido,RO-20560,René Olivo,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-EL-10000793,Material de oficina,Electrodomésticos,"Cuisinart Molinillo de café, Rojo",1029.6,4,0,256.8,
3662,MX-2021-161018,02/10/21,06/10/21,Rápido,RO-20560,René Olivo,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-SI-10001707,Mobiliario,Sillas,"Novimex Taburete, Ajustable",890.4,1,0.2,-222.6,
3706,MX-2021-164903,16/05/21,22/05/21,Estándar,LV-18145,Lidia Villaseñor,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10000847,Material de oficina,Carpetas,"Ibico Carpeta, Económico",309.6,3,0,114,
3864,MX-2021-122063,06/10/21,11/10/21,Estándar,CL-12505,Cipriano Lucero,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10004689,Material de oficina,Carpetas,"Avery Encuadernadora, Duradero",1006.8,3,0,140.4,
3865,MX-2021-122063,06/10/21,11/10/21,Estándar,CL-12505,Cipriano Lucero,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-MO-10000750,Mobiliario,Mobiliario,"Eldon Marco, Premium",3216.36,7,0.4,-1769.04,
3866,MX-2021-122063,06/10/21,11/10/21,Estándar,CL-12505,Cipriano Lucero,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-SI-10002225,Mobiliario,Sillas,"Hon Sillón, 2",17150.56,7,0.2,3000.76,
3962,US-2019-115875,19/07/19,24/07/19,Estándar,GZ-15115,Gerardo Zaragoza,Cliente,Ciudad de México,Distrito Federal,México,Norte,MOB-LI-10004541,Mobiliario,Librerías,"Sauder Librería clásica, Blanco",7016.16,3,0.2,-351.24,
4014,MX-2020-130848,19/05/20,25/05/20,Estándar,MG-18970,Miren Gil,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-TE-10000050,Tecnología,Teléfonos,"Cisco Cargador, Tamaño completo",13053.6,3,0,4438.2,
4181,MX-2020-105956,22/04/20,27/04/20,Estándar,SA-20920,Sofía Alba,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-GR-10000063,Material de oficina,Grapas,"OIC Grapas, Tamaños variados",293,5,0,128,
4336,MX-2022-152121,27/04/22,02/05/22,Estándar,DA-13555,Dimitri Arcones,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-CO-10004471,Tecnología,Copiadoras,"HP Tinta, Rojo",5910.156,7,0.002,1941.156,
4337,MX-2022-152121,27/04/22,02/05/22,Estándar,DA-13555,Dimitri Arcones,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-PA-10000018,Material de oficina,Papel,"Eaton Agenda, Multicolor",293.2,2,0,105.2,
4338,MX-2022-152121,27/04/22,02/05/22,Estándar,DA-13555,Dimitri Arcones,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-ET-10003414,Material de oficina,Etiquetas,"Smead Etiquetas de envío, Duradero",240,3,0,74.4,
4339,MX-2022-152121,27/04/22,02/05/22,Estándar,DA-13555,Dimitri Arcones,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-AR-10002543,Material de oficina,Arte,"Stanley Sacapuntas, Metal",1215.2,7,0,436.8,
4400,MX-2022-126711,24/06/22,26/06/22,Rápido,RD-20215,Ramiro Dávila,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SU-10003176,Material de oficina,Suministros,"Stiletto Cúter, Industrial",1754.2,7,0,806.4,
4401,MX-2022-126711,24/06/22,26/06/22,Rápido,RD-20215,Ramiro Dávila,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-ET-10004339,Material de oficina,Etiquetas,"Harbour Creations Etiquetas redondas, Duradero",95.2,2,0,26.4,
4402,MX-2022-126711,24/06/22,26/06/22,Rápido,RD-20215,Ramiro Dávila,Cliente,Ciudad de México,Distrito Federal,México,Norte,TEC-TE-10000050,Tecnología,Teléfonos,"Cisco Cargador, Tamaño completo",30458.4,7,0,10355.8,
4476,US-2022-162215,23/05/22,26/05/22,Rápido,TT-21145,Thalía Torres,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-SI-10004862,Mobiliario,Sillas,"Novimex Taburete, Negro",2592.48,3,0.2,-324.12,
4483,MX-2019-155159,08/07/19,11/07/19,Urgente,JO-16735,Jeremías Orozco,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-SO-10002599,Material de oficina,Sobres,"Cameo Sobres de uso interno, Reciclado",616.4,2,0,228,
4612,MX-2020-161998,22/06/20,24/06/20,Urgente,FM-14785,Flora Montes,Pequeña empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-ET-10004339,Material de oficina,Etiquetas,"Harbour Creations Etiquetas redondas, Duradero",238,5,0,66,
4614,US-2020-141390,03/12/20,07/12/20,Estándar,VA-21445,Valentina Acuna,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-MO-10002504,Mobiliario,Mobiliario,"Deflect-O Bandeja apiladora, Negro",303.48,3,0.4,-197.52,
